998,2995,4990,9928
the	ð ə
upwards	ʌ p w ɝ d z
tenure	t ɛ n j ɝ
bye	b aɪ
condemn	k ə n d ɛ m
insane	ɪ n s eɪ n
eagle	i ɡ ə ɫ
nutritional	n u t ɹ ɪ ʃ ə n ə ɫ
statistically	s t ə t ɪ s t ɪ k ə ɫ i
scout	s k aʊ t
persistence	p ɝ s ɪ s t ə n s
rip	ɹ ɪ p
salute	s ə ɫ u t
wildlife	w aɪ ɫ d ɫ aɪ f
giggle	ɡ ɪ ɡ ə ɫ
merger	m ɝ dʒ ɝ
cruelty	k ɹ u ɫ t i
scary	s k ɛ ɹ i
blur	b ɫ ɝ
pedagogy	p ɛ d ə ɡ oʊ dʒ i
anguish	æ ŋ ɡ w ɪ ʃ
trivial	t ɹ ɪ v i ə ɫ
unprecedented	ə n p ɹ ɛ s ɪ d ɛ n t ɪ d
feather	f ɛ ð ɝ
candy	k æ n d i
arguably	ɑ ɹ ɡ j u ə b ɫ i
tremble	t ɹ ɛ m b ə ɫ
bust	b ʌ s t
smoothly	s m u ð ɫ i
quo	k w oʊ
gym	dʒ ɪ m
vigorous	v ɪ ɡ ɝ ə s
prosecutor	p ɹ ɑ s ɪ k j u t ɝ
antioxidant	æ n t i ɑ k s ə d ə n t
specialist	s p ɛ ʃ ə ɫ ə s t
curiously	k j ʊ ɹ i ə s ɫ i
continuum	k ə n t ɪ n j u ə m
incorporation	ɪ n k ɔ ɹ p ɝ eɪ ʃ ə n
cathedral	k ə θ i d ɹ ə ɫ
melody	m ɛ ɫ ə d i
cannon	k æ n ə n
symptom	s ɪ m p t ə m
devote	d ɪ v oʊ t
seasonal	s i z ə n ə ɫ
hopefully	h oʊ p f ə ɫ i
adjective	æ dʒ ɪ k t ɪ v
sur	s ɝ
humanitarian	h j u m æ n ə t ɛ ɹ i ə n
dissertation	d ɪ s ɝ t eɪ ʃ ə n
yeast	j i s t
duct	d ʌ k t
lantern	ɫ æ n t ɝ n
locality	ɫ oʊ k æ ɫ ə t i
farewell	f ɛ ɹ w ɛ ɫ
coronary	k ɔ ɹ ə n ɛ ɹ i
terribly	t ɛ ɹ ə b ɫ i
exemption	ɪ ɡ z ɛ m p ʃ ə n
stubborn	s t ʌ b ɝ n
spectacular	s p ɛ k t æ k j ə ɫ ɝ
sailing	s eɪ ɫ ɪ ŋ
understanding	ʌ n d ɝ s t æ n d ɪ ŋ
toll	t oʊ ɫ
antiquity	æ n t ɪ k w ə t i
niche	n ɪ tʃ
sage	s eɪ dʒ
invariably	ɪ n v ɛ ɹ i ə b ɫ i
polynomial	p ɑ ɫ i n oʊ m i ə ɫ
ventilation	v ɛ n t ə ɫ eɪ ʃ ə n
wretched	ɹ ɛ tʃ ɪ d
electrolyte	ɪ ɫ ɛ k t ɹ ɑ ɫ aɪ t
landmark	ɫ æ n d m ɑ ɹ k
disappearance	d ɪ s ə p ɪ ɹ ə n s
aisle	aɪ ɫ
cervical	s ɝ v ə k ə ɫ
terminate	t ɝ m ə n eɪ t
prose	p ɹ oʊ z
dialect	d aɪ ə ɫ ɛ k t
soften	s ɑ f ə n
aqueous	eɪ k w i ə s
ya	j ɑ
undergraduate	ʌ n d ɝ ɡ ɹ æ dʒ ə w ə t
practise	p ɹ æ k t ɪ s
cheat	tʃ i t
noisy	n ɔɪ z i
doubtless	d aʊ t ɫ ə s
angular	æ ŋ ɡ j ə ɫ ɝ
lure	ɫ ʊ ɹ
deploy	d ɪ p ɫ ɔɪ
humility	h j u m ɪ ɫ ɪ t i
restrain	ɹ i s t ɹ eɪ n
pronoun	p ɹ oʊ n aʊ n
ventricular	v ɛ n t ɹ ɪ k j u ɫ ɝ
instruct	ɪ n s t ɹ ʌ k t
dairy	d ɛ ɹ i
beautifully	b j u t ə f ɫ i
contextual	k ɑ n t ɛ k s tʃ u ə ɫ
debris	d ə b ɹ i
precipitation	p ɹ ɪ s ɪ p ɪ t eɪ ʃ ə n
proudly	p ɹ aʊ d ɫ i
soluble	s ɑ ɫ j ə b ə ɫ
headline	h ɛ d ɫ aɪ n
portray	p ɔ ɹ t ɹ eɪ
siege	s i dʒ
tribute	t ɹ ɪ b j u t
crisp	k ɹ ɪ s p
depiction	d ɪ p ɪ k ʃ ə n
comb	k oʊ m
vicinity	v ə s ɪ n ə t i
haste	h eɪ s t
tendon	t ɛ n d ə n
invade	ɪ n v eɪ d
segregation	s ɛ ɡ ɹ ə ɡ eɪ ʃ ə n
fictional	f ɪ k ʃ ə n ə ɫ
crust	k ɹ ʌ s t
doubtful	d aʊ t f ə ɫ
dissolution	d ɪ s ə ɫ u ʃ ə n
undo	ə n d u
fixation	f ɪ k s eɪ ʃ ə n
shove	ʃ ʌ v
assemble	ə s ɛ m b ə ɫ
villager	v ɪ ɫ ɪ dʒ ɝ
abdomen	æ b d oʊ m ə n
cigar	s ɪ ɡ ɑ ɹ
shiny	ʃ aɪ n i
roam	ɹ oʊ m
coffin	k ɔ f ɪ n
insertion	ɪ n s ɝ ʃ ə n
banner	b æ n ɝ
hymn	h ɪ m
lengthy	ɫ ɛ ŋ θ i
overtake	oʊ v ɝ t eɪ k
confer	k ə n f ɝ
ambulance	æ m b j ə ɫ ə n s
treatise	t ɹ i t ə s
claimant	k ɫ eɪ m ə n t
overly	oʊ v ɝ ɫ i
sergeant	s ɑ ɹ dʒ ə n t
collateral	k ə ɫ æ t ɝ ə ɫ
socialism	s oʊ ʃ ə ɫ ɪ z ə m
vaguely	v eɪ ɡ ɫ i
pork	p ɔ ɹ k
speculate	s p ɛ k j ə ɫ eɪ t
chemotherapy	k i m oʊ θ ɛ ɹ ə p i
golf	ɡ ɑ ɫ f
dissent	d ɪ s ɛ n t
swap	s w ɑ p
masculinity	m æ s k j ə ɫ ɪ n ə t i
volatile	v ɑ ɫ ə t ə ɫ
yoga	j oʊ ɡ ə
spirituality	s p ɪ ɹ ɪ tʃ u æ ɫ ə t i
openness	oʊ p ə n n ə s
precipitate	p ɹ ɪ s ɪ p ɪ t eɪ t
fetal	f i t ə ɫ
converse	k ɑ n v ɝ s
analogous	ə n æ ɫ ə ɡ ə s
memoir	m ɛ m w ɑ ɹ
functionality	f ʌ ŋ k ʃ ə n æ ɫ ɪ t i
authenticity	ɔ θ ə n t ɪ s ɪ t i
withstand	w ɪ θ s t æ n d
visibility	v ɪ z ə b ɪ ɫ ɪ t i
imbalance	ɪ m b æ ɫ ə n s
toil	t ɔɪ ɫ
mould	m oʊ ɫ d
metaphysical	m ɛ t ə f ɪ z ɪ k ə ɫ
bicycle	b aɪ s ɪ k ə ɫ
nasty	n æ s t i
hearted	h ɑ ɹ t ə d
deliberation	d ɪ ɫ ɪ b ɝ eɪ ʃ ə n
propagate	p ɹ ɑ p ə ɡ eɪ t
orbital	ɔ ɹ b ə t ə ɫ
blog	b ɫ ɔ ɡ
accidentally	æ k s ə d ɛ n t ə ɫ i
deceive	d ɪ s i v
plunge	p ɫ ʌ n dʒ
ensemble	ɑ n s ɑ m b ə ɫ
aftermath	æ f t ɝ m æ θ
taxpayer	t æ k s p eɪ ɝ
grandson	ɡ ɹ æ n d s ʌ n
catheter	k æ θ ə t ɝ
mute	m j u t
intestinal	ɪ n t ɛ s t ə n ə ɫ
booth	b u θ
baptism	b æ p t ɪ z ə m
plaster	p ɫ æ s t ɝ
relay	ɹ i ɫ eɪ
runner	ɹ ʌ n ɝ
deception	d ɪ s ɛ p ʃ ə n
clone	k ɫ oʊ n
clearance	k ɫ ɪ ɹ ə n s
rattle	ɹ æ t ə ɫ
senator	s ɛ n ə t ɝ
faintly	f eɪ n t ɫ i
mindset	m aɪ n d s ɛ t
detention	d ɪ t ɛ n ʃ ə n
polarization	p oʊ ɫ ɝ ə z eɪ ʃ ə n
bureaucracy	b j ʊ ɹ ɑ k ɹ ə s i
furnace	f ɝ n ə s
chloride	k ɫ ɔ ɹ aɪ d
fireplace	f aɪ ɝ p ɫ eɪ s
rag	ɹ æ ɡ
reflex	ɹ i f ɫ ɛ k s
fortress	f ɔ ɹ t ɹ ə s
urgency	ɝ dʒ ə n s i
homeless	h oʊ m ɫ ə s
gum	ɡ ʌ m
vinegar	v ɪ n ə ɡ ɝ
activist	æ k t ə v ə s t
translator	t ɹ æ n s ɫ eɪ t ɝ
chop	tʃ ɑ p
loneliness	ɫ oʊ n ɫ i n ə s
kinetic	k ə n ɛ t ɪ k
bandage	b æ n d ɪ dʒ
holistic	h oʊ ɫ ɪ s t ɪ k
folly	f ɑ ɫ i
creek	k ɹ i k
globally	ɡ ɫ oʊ b ə ɫ i
routinely	ɹ u t i n ɫ i
photographer	f ə t ɑ ɡ ɹ ə f ɝ
keeper	k i p ɝ
coherence	k oʊ h ɪ ɹ ə n s
velvet	v ɛ ɫ v ə t
shrine	ʃ ɹ aɪ n
omission	oʊ m ɪ ʃ ə n
apprehension	æ p ɹ ɪ h ɛ n ʃ ə n
exhaustion	ɪ ɡ z ɔ s tʃ ə n
await	ə w eɪ t
scrape	s k ɹ eɪ p
exceedingly	ɪ k s i d ɪ ŋ ɫ i
geometric	dʒ i ə m ɛ t ɹ ɪ k
fiery	f aɪ ɝ i
slim	s ɫ ɪ m
standpoint	s t æ n d p ɔɪ n t
ontology	ɑ n t ɑ ɫ ə dʒ i
rigorous	ɹ ɪ ɡ ɝ ə s
familiarity	f ə m ɪ ɫ j ɛ ɹ ə t i
fairness	f ɛ ɹ n ə s
heed	h i d
talented	t æ ɫ ə n t ɪ d
agitation	æ dʒ ə t eɪ ʃ ə n
ah	ɑ
mat	m æ t
presume	p ɹ ɪ z u m
appoint	ə p ɔɪ n t
pillar	p ɪ ɫ ɝ
designation	d ɛ z ə ɡ n eɪ ʃ ə n
privately	p ɹ aɪ v ə t ɫ i
formidable	f ɔ ɹ m ə d ə b ə ɫ
lofty	ɫ ɔ f t i
sunny	s ʌ n i
grill	ɡ ɹ ɪ ɫ
exotic	ɪ ɡ z ɑ t ɪ k
soybean	s ɔɪ b i n
auto	ɔ t oʊ
slit	s ɫ ɪ t
nervously	n ɝ v ə s ɫ i
huh	h ʌ
discriminate	d ɪ s k ɹ ɪ m ə n eɪ t
meanwhile	m i n w aɪ ɫ
anniversary	æ n ə v ɝ s ɝ i
impart	ɪ m p ɑ ɹ t
poll	p oʊ ɫ
implicitly	ɪ m p ɫ ɪ s ə t ɫ i
id	ɪ d
banana	b ə n æ n ə
whence	w ɛ n s
commissioner	k ə m ɪ ʃ ə n ɝ
resonate	ɹ ɛ z ə n eɪ t
thirst	θ ɝ s t
reversal	ɹ ɪ v ɝ s ə ɫ
acoustic	ə k u s t ɪ k
expressive	ɪ k s p ɹ ɛ s ɪ v
benign	b ɪ n aɪ n
proton	p ɹ oʊ t ɑ n
ere	ɛ ɹ
marrow	m ɛ ɹ oʊ
canon	k æ n ə n
postwar	p oʊ s t w ɔ ɹ
profoundly	p ɹ oʊ f aʊ n d ɫ i
nasal	n eɪ z ə ɫ
coup	k u
interruption	ɪ n t ɝ ʌ p ʃ ə n
delegation	d ɛ ɫ ə ɡ eɪ ʃ ə n
academy	ə k æ d ə m i
versa	v ɝ s ə
neo	n i oʊ
fighter	f aɪ t ɝ
intra	ɪ n t ɹ ɑ
eh	ɛ
dwarf	d w ɔ ɹ f
journalism	dʒ ɝ n ə ɫ ɪ z ə m
psychic	s aɪ k ɪ k
algebra	æ ɫ dʒ ə b ɹ ə
cuff	k ʌ f
agreeable	ə ɡ ɹ i ə b ə ɫ
hopeless	h oʊ p ɫ ə s
technically	t ɛ k n ɪ k ə ɫ i
merry	m ɛ ɹ i
asthma	æ z m ə
enact	ɪ n æ k t
blaze	b ɫ eɪ z
rating	ɹ eɪ t ɪ ŋ
newborn	n u b ɔ ɹ n
brightly	b ɹ aɪ t ɫ i
malignant	m ə ɫ ɪ ɡ n ə n t
kin	k ɪ n
buckle	b ʌ k ə ɫ
bypass	b aɪ p æ s
originate	ɝ ɪ dʒ ə n eɪ t
downstream	d aʊ n s t ɹ i m
redemption	ɹ ɪ d ɛ m p ʃ ə n
thump	θ ʌ m p
auditory	ɔ d ɪ t ɔ ɹ i
willingly	w ɪ ɫ ɪ ŋ ɫ i
delegate	d ɛ ɫ ə ɡ eɪ t
swamp	s w ɑ m p
intuitive	ɪ n t u ə t ɪ v
ore	ɔ ɹ
accountable	ə k aʊ n t ə b ə ɫ
therein	ð ɛ ɹ ɪ n
fridge	f ɹ ɪ dʒ
overthrow	oʊ v ɝ θ ɹ oʊ
latitude	ɫ æ t ə t u d
bonus	b oʊ n ə s
continental	k ɑ n t ə n ɛ n t ə ɫ
preclude	p ɹ ɪ k ɫ u d
viscosity	v ɪ s k ɑ s ə t i
criticize	k ɹ ɪ t ɪ s aɪ z
colonel	k ɝ n ə ɫ
generosity	dʒ ɛ n ɝ ɑ s ə t i
sometime	s ʌ m t aɪ m
combustion	k ə m b ʌ s tʃ ə n
definitive	d ɪ f ɪ n ɪ t ɪ v
contractual	k ə n t ɹ æ k tʃ u ə ɫ
prescribe	p ɹ ə s k ɹ aɪ b
squad	s k w ɑ d
freshly	f ɹ ɛ ʃ ɫ i
plural	p ɫ ʊ ɹ ə ɫ
reproach	ɹ i p ɹ oʊ tʃ
revisit	ɹ i v ɪ z ɪ t
phenotype	f i n ə t aɪ p
revival	ɹ ɪ v aɪ v ə ɫ
maritime	m ɛ ɹ ə t aɪ m
excitation	ɛ k s aɪ t eɪ ʃ ə n
banker	b æ ŋ k ɝ
bi	b aɪ
intercept	ɪ n t ɝ s ɛ p t
prestige	p ɹ ɛ s t i ʒ
disgrace	d ɪ s ɡ ɹ eɪ s
menace	m ɛ n ə s
hay	h eɪ
petty	p ɛ t i
aluminum	ə ɫ u m ə n ə m
perpetual	p ɝ p ɛ tʃ u ə ɫ
optional	ɑ p ʃ ə n ə ɫ
slab	s ɫ æ b
graceful	ɡ ɹ eɪ s f ə ɫ
disdain	d ɪ s d eɪ n
sideways	s aɪ d w eɪ z
intercourse	ɪ n t ɝ k ɔ ɹ s
forge	f ɔ ɹ dʒ
breadth	b ɹ ɛ d θ
footprint	f ʊ t p ɹ ɪ n t
worldly	w ɝ ɫ d ɫ i
lessen	ɫ ɛ s ə n
passport	p æ s p ɔ ɹ t
radically	ɹ æ d ɪ k ɫ i
patiently	p eɪ ʃ ə n t ɫ i
dine	d aɪ n
continuation	k ə n t ɪ n j u eɪ ʃ ə n
queue	k j u
curb	k ɝ b
aggregation	æ ɡ ɹ ə ɡ eɪ ʃ ə n
ridicule	ɹ ɪ d ə k j u ɫ
cherry	tʃ ɛ ɹ i
monarchy	m ɑ n ɑ ɹ k i
tub	t ʌ b
anthropology	æ n θ ɹ ə p ɑ ɫ ə dʒ i
weed	w i d
forthcoming	f ɔ ɹ θ k ʌ m ɪ ŋ
dart	d ɑ ɹ t
indispensable	ɪ n d ɪ s p ɛ n s ə b ə ɫ
mediator	m i d i eɪ t ɝ
wink	w ɪ ŋ k
inspector	ɪ n s p ɛ k t ɝ
fulfil	f ʊ ɫ f ɪ ɫ
rainfall	ɹ eɪ n f ɔ ɫ
energetic	ɛ n ɝ dʒ ɛ t ɪ k
mobilization	m oʊ b ə ɫ ə z eɪ ʃ ə n
generalization	dʒ ɛ n ɝ ə ɫ ɪ z eɪ ʃ ə n
empowerment	ɪ m p aʊ ɝ m ə n t
mattress	m æ t ɹ ə s
jade	dʒ eɪ d
irritation	ɪ ɹ ɪ t eɪ ʃ ə n
bulb	b ʌ ɫ b
humiliation	h j u m ɪ ɫ i eɪ ʃ ə n
consolidation	k ə n s ɑ ɫ ə d eɪ ʃ ə n
bankruptcy	b æ ŋ k ɹ ə p s i
ripe	ɹ aɪ p
explanatory	ɪ k s p ɫ æ n ə t ɔ ɹ i
vengeance	v ɛ n dʒ ə n s
turnover	t ɝ n oʊ v ɝ
appraisal	ə p ɹ eɪ z ə ɫ
massacre	m æ s ə k ɝ
temperament	t ɛ m p ɹ ə m ə n t
dismay	d ɪ s m eɪ
coral	k ɔ ɹ ə ɫ
persona	p ɝ s oʊ n ə
oz	ɑ z
impress	ɪ m p ɹ ɛ s
validate	v æ ɫ ə d eɪ t
rash	ɹ æ ʃ
unfold	ə n f oʊ ɫ d
intermediary	ɪ n ɝ m i d i ɛ ɹ i
cellar	s ɛ ɫ ɝ
medicinal	m ə d ɪ s ə n ə ɫ
ski	s k i
stiffness	s t ɪ f n ə s
arterial	ɑ ɹ t ɪ ɹ i ə ɫ
photography	f ə t ɑ ɡ ɹ ə f i
livelihood	ɫ aɪ v ɫ i h ʊ d
transcript	t ɹ æ n s k ɹ ɪ p t
alleviate	ə ɫ i v i eɪ t
avail	ə v eɪ ɫ
chaotic	k eɪ ɑ t ɪ k
soda	s oʊ d ə
majesty	m æ dʒ ə s t i
scenery	s i n ɝ i
scorn	s k ɔ ɹ n
reel	ɹ i ɫ
insecurity	ɪ n s ɪ k j ʊ ɹ ɪ t i
serpent	s ɝ p ə n t
unseen	ə n s i n
virtuous	v ɝ tʃ u ə s
outset	aʊ t s ɛ t
unjust	ə n dʒ ʌ s t
drip	d ɹ ɪ p
entropy	ɛ n t ɹ ə p i
weave	w i v
inhibitor	ɪ n h ɪ b ə t ɝ
cautiously	k ɔ ʃ ə s ɫ i
stab	s t æ b
gallop	ɡ æ ɫ ə p
cue	k j u
tablespoon	t eɪ b ə ɫ s p u n
haul	h ɔ ɫ
fertile	f ɝ t ə ɫ
solitude	s ɑ ɫ ə t u d
basketball	b æ s k ə t b ɔ ɫ
backup	b æ k ʌ p
greenhouse	ɡ ɹ i n h aʊ s
buddy	b ʌ d i
publicity	p ə b ɫ ɪ s ə t i
existential	ɛ ɡ z ɪ s t ɛ n ʃ ə ɫ
odor	oʊ d ɝ
peril	p ɛ ɹ ə ɫ
jazz	dʒ æ z
myriad	m ɪ ɹ i ə d
cholesterol	k ə ɫ ɛ s t ɝ ɔ ɫ
adulthood	ə d ʌ ɫ t h ʊ d
adsorption	ə d s ɔ ɹ p ʃ ə n
hub	h ʌ b
bitterness	b ɪ t ɝ n ə s
numb	n ʌ m
unexpectedly	ʌ n ɪ k s p ɛ k t ɪ d ɫ i
hazardous	h æ z ɝ d ə s
careless	k ɛ ɹ ɫ ə s
infusion	ɪ n f j u ʒ ə n
oxidative	ɑ k s ə d aɪ t ɪ v
backpack	b æ k p æ k
simulate	s ɪ m j ə ɫ ə t
gloom	ɡ ɫ u m
confidential	k ɑ n f ə d ɛ n ʃ ə ɫ
champagne	ʃ æ m p eɪ n
override	oʊ v ɝ ɹ aɪ d
predictable	p ɹ ɪ d ɪ k t ə b ə ɫ
rewrite	ɹ i ɹ aɪ t
vowel	v aʊ ə ɫ
install	ɪ n s t ɔ ɫ
inhabit	ɪ n h æ b ə t
smear	s m ɪ ɹ
reciprocal	ɹ ɪ s ɪ p ɹ ə k ə ɫ
infantry	ɪ n f ə n t ɹ i
regeneration	ɹ i dʒ ɛ n ɝ eɪ ʃ ə n
entrepreneurship	ɑ n t ɹ ə p ɹ ə n ɝ ʃ ɪ p
ontological	ɑ n t ə ɫ ɑ dʒ ɪ k ə ɫ
fertilizer	f ɝ t ə ɫ aɪ z ɝ
orphan	ɔ ɹ f ə n
schema	s k i m ə
bra	b ɹ ɑ
stroll	s t ɹ oʊ ɫ
adherence	ə d h ɪ ɹ ə n s
corrosion	k ɝ oʊ ʒ ə n
forearm	f ɔ ɹ ɑ ɹ m
chef	ʃ ɛ f
tennis	t ɛ n ə s
hopeful	h oʊ p f ə ɫ
sinus	s aɪ n ə s
mastery	m æ s t ɝ i
proxy	p ɹ ɑ k s i
homeland	h oʊ m ɫ æ n d
cyber	s aɪ b ɝ
appropriation	ə p ɹ oʊ p ɹ i eɪ ʃ ə n
pyramid	p ɪ ɹ ə m ɪ d
entrepreneurial	ɑ n t ɹ ə p ɹ ə n ɝ i ə ɫ
millennium	m ə ɫ ɛ n i ə m
necklace	n ɛ k ɫ ə s
heartbeat	h ɑ ɹ t b i t
platelet	p ɫ eɪ t ɫ ə t
perceptual	p ɝ s ɛ p tʃ ə w ə ɫ
rug	ɹ ʌ ɡ
capillary	k æ p ə ɫ ɛ ɹ i
fermentation	f ɝ m ə n t eɪ ʃ ə n
antique	æ n t i k
hack	h æ k
crawl	k ɹ ɔ ɫ
orderly	ɔ ɹ d ɝ ɫ i
suitcase	s u t k eɪ s
potassium	p ə t æ s i ə m
licence	ɫ aɪ s ə n s
homework	h oʊ m w ɝ k
crow	k ɹ oʊ
chord	k ɔ ɹ d
optimum	ɑ p t ə m ə m
mini	m ɪ n i
intersect	ɪ n t ɝ s ɛ k t
recurrence	ɹ ɪ k ɝ ə n s
unsure	ə n ʃ ʊ ɹ
claw	k ɫ ɔ
aforementioned	ə f ɔ ɹ m ɛ n ʃ ə n d
stark	s t ɑ ɹ k
simplify	s ɪ m p ɫ ə f aɪ
hen	h ɛ n
businessman	b ɪ z n ə s m æ n
blunt	b ɫ ʌ n t
resignation	ɹ ɛ z ə ɡ n eɪ ʃ ə n
reluctantly	ɹ ɪ ɫ ʌ k t ə n t ɫ i
resin	ɹ ɛ z ə n
reuse	ɹ i j u s
attainment	ə t eɪ n m ə n t
extinction	ɪ k s t ɪ ŋ k ʃ ə n
banquet	b æ ŋ k w ə t
evenly	i v ə n ɫ i
capsule	k æ p s ə ɫ
replication	ɹ ɛ p ɫ ə k eɪ ʃ ə n
climax	k ɫ aɪ m æ k s
procurement	p ɹ oʊ k j ʊ ɹ m ə n t
expressly	ɛ k s p ɹ ɛ s ɫ i
allusion	ə ɫ u ʒ ə n
bacon	b eɪ k ə n
vanity	v æ n ə t i
laundry	ɫ ɔ n d ɹ i
dessert	d ɪ z ɝ t
lesbian	ɫ ɛ z b i ə n
frog	f ɹ ɑ ɡ
internally	ɪ n t ɝ n ə ɫ i
cocktail	k ɑ k t eɪ ɫ
affiliation	ə f ɪ ɫ i eɪ ʃ ə n
prioritize	p ɹ aɪ ɔ ɹ ə t aɪ z
gigantic	dʒ aɪ ɡ æ n t ɪ k
authoritarian	ə θ ɔ ɹ ə t ɛ ɹ i ə n
equitable	ɛ k w ə t ə b ə ɫ
accidental	æ k s ə d ɛ n t ə ɫ
uphold	ə p h oʊ ɫ d
unreasonable	ə n ɹ i z n ə b ə ɫ
sperm	s p ɝ m
urinary	j ɝ ə n ɛ ɹ i
marital	m ɛ ɹ ə t ə ɫ
bleed	b ɫ i d
insignificant	ɪ n s ɪ ɡ n j ɪ f ɪ k ə n t
compass	k ʌ m p ə s
politely	p ə ɫ aɪ t ɫ i
meditate	m ɛ d ə t eɪ t
presumption	p ɹ ɪ z ʌ m p ʃ ə n
theatrical	θ i æ t ɹ ɪ k ə ɫ
greatness	ɡ ɹ eɪ t n ə s
encompass	ɛ n k ʌ m p ə s
solo	s oʊ ɫ oʊ
instructional	ɪ n s t ɹ ʌ k ʃ ə n ə ɫ
microscope	m aɪ k ɹ ə s k oʊ p
picnic	p ɪ k n ɪ k
reef	ɹ i f
consecutive	k ə n s ɛ k j ə t ɪ v
gracious	ɡ ɹ eɪ ʃ ə s
cosmic	k ɑ z m ɪ k
wield	w i ɫ d
verge	v ɝ dʒ
radial	ɹ eɪ d i ə ɫ
logo	ɫ oʊ ɡ oʊ
ox	ɑ k s
ferry	f ɛ ɹ i
nickname	n ɪ k n eɪ m
moist	m ɔɪ s t
goose	ɡ u s
rig	ɹ ɪ ɡ
harmonic	h ɑ ɹ m ɑ n ɪ k
pagan	p eɪ ɡ ə n
respectful	ɹ ɪ s p ɛ k t f ə ɫ
articulation	ɑ ɹ t ɪ k j ə ɫ eɪ ʃ ə n
archaeological	ɑ ɹ k i ə ɫ ɑ dʒ ɪ k ə ɫ
traitor	t ɹ eɪ t ɝ
ligament	ɫ ɪ ɡ ə m ə n t
actress	æ k t ɹ ə s
participatory	p ɑ ɹ t ɪ s ə p ə t ɔ ɹ i
negligence	n ɛ ɡ ɫ ə dʒ ə n s
sparkling	s p ɑ ɹ k ɫ ɪ ŋ
novelty	n ɑ v ə ɫ t i
specialty	s p ɛ ʃ ə ɫ t i
universally	j u n ə v ɝ s ə ɫ i
coli	k oʊ ɫ i
snatch	s n æ tʃ
optimistic	ɑ p t ə m ɪ s t ɪ k
shave	ʃ eɪ v
unequal	ə n i k w ə ɫ
trailer	t ɹ eɪ ɫ ɝ
villain	v ɪ ɫ ə n
howl	h aʊ ɫ
restrictive	ɹ i s t ɹ ɪ k t ɪ v
administrator	ə d m ɪ n ə s t ɹ eɪ t ɝ
sensibility	s ɛ n s ɪ b ɪ ɫ ɪ t i
presidency	p ɹ ɛ z ə d ə n s i
refrigerator	ɹ ə f ɹ ɪ dʒ ɝ eɪ t ɝ
comprise	k ə m p ɹ aɪ z
diplomacy	d ɪ p ɫ oʊ m ə s i
intestine	ɪ n t ɛ s t ə n
mainland	m eɪ n ɫ æ n d
hoc	h ɑ k
rhyme	ɹ aɪ m
oversight	oʊ v ɝ s aɪ t
financially	f ə n æ n ʃ ə ɫ i
reverence	ɹ ɛ v ɝ ə n s
basal	b eɪ s ə ɫ
uncover	ə n k ʌ v ɝ
venous	v i n ə s
dorsal	d ɔ ɹ s ə ɫ
sticky	s t ɪ k i
trainer	t ɹ eɪ n ɝ
akin	ə k ɪ n
axial	æ k s i ə ɫ
amateur	æ m ə t ɝ
discrepancy	d ɪ s k ɹ ɛ p ə n s i
politician	p ɑ ɫ ə t ɪ ʃ ə n
perpetuate	p ɝ p ɛ tʃ ə w eɪ t
conspicuous	k ə n s p ɪ k j u ə s
bedside	b ɛ d s aɪ d
icy	aɪ s i
compulsory	k ə m p ʌ ɫ s ɝ i
nonprofit	n ɑ n p ɹ ɑ f ə t
discursive	d ɪ s k ɝ s ɪ v
autism	ɔ t ɪ z ə m
pseudo	s u d oʊ
evening	i v n ɪ ŋ
marketplace	m ɑ ɹ k ə t p ɫ eɪ s
infinitely	ɪ n f ə n ə t ɫ i
nursery	n ɝ s ɝ i
advent	æ d v ɛ n t
wastewater	w eɪ s t w ɔ t ɝ
hue	h j u
unwanted	ə n w ɔ n t ɪ d
lender	ɫ ɛ n d ɝ
airline	ɛ ɹ ɫ aɪ n
silicon	s ɪ ɫ ə k ə n
electromagnetic	ɪ ɫ ɛ k t ɹ oʊ m æ ɡ n ɛ t ɪ k
pope	p oʊ p
glove	ɡ ɫ ʌ v
premature	p ɹ i m ə tʃ ʊ ɹ
prognosis	p ɹ ɑ ɡ n oʊ s ə s
ethanol	ɛ θ ə n ɔ ɫ
amend	ə m ɛ n d
trumpet	t ɹ ʌ m p ə t
wallet	w ɔ ɫ ə t
pediatric	p i d i æ t ɹ ɪ k
modulation	m ɑ dʒ ə ɫ eɪ ʃ ə n
scarf	s k ɑ ɹ f
trickle	t ɹ ɪ k ə ɫ
commence	k ə m ɛ n s
camel	k æ m ə ɫ
flare	f ɫ ɛ ɹ
penis	p i n ɪ s
intensely	ɪ n t ɛ n s ɫ i
nobility	n oʊ b ɪ ɫ ə t i
upside	ʌ p s aɪ d
imperfect	ɪ m p ɝ f ɪ k t
bureaucratic	b j ʊ ɹ ə k ɹ æ t ɪ k
plaque	p ɫ æ k
incoming	ɪ n k ʌ m ɪ ŋ
nausea	n ɔ z i ə
fulfillment	f ʊ ɫ f ɪ ɫ m ə n t
pigment	p ɪ ɡ m ə n t
conjecture	k ə n dʒ ɛ k tʃ ɝ
unchanged	ə n tʃ eɪ n dʒ d
notification	n oʊ t ə f ə k eɪ ʃ ə n
microscopy	m aɪ k ɹ ʌ s k ə p i
deprivation	d ɛ p ɹ ə v eɪ ʃ ə n
nap	n æ p
lexical	ɫ ɛ k s ɪ k ə ɫ
symmetric	s ə m ɛ t ɹ ɪ k
lawsuit	ɫ ɔ s u t
frontal	f ɹ ʌ n t ə ɫ
contention	k ə n t ɛ n ʃ ə n
